統一編號,公司代號,公司,行業大類,縣市別,是否承諾淨零排放或碳中和,預計達成淨零排放／碳中和年份,是否設定中期溫室氣體絕對減量目標,中期減量目標年設定,中期溫室氣體絕對減量目標值（百分比）,中期減量基準年設定,中期減量基準年排放量,中期目標是否取得SBT認證,2022年度總能源使用量,2023年度總能源使用量,2024年度總能源使用量,2024總用電量,是否設定節能目標？,節能目標年設定,節能目標值（百分比）,年節電率目標,是否達成政府用電大戶再生能源建置義務,再生能源裝置容量,是否設定再生能源使用目標？,再生能源目標年設定,再生能源比例目標值（百分比）,是否取得RE100認證？,關鍵減量策略說明,是否揭露 2022 - 2024 年溫室氣體排放資料,類別一（值）,類別二（值）,類別三（值）,類別四（值）,類別五（值）,類別六（值）,範疇三（值）,是否設定範疇三減量目標,範疇三減量目標實際作為,是否揭露各項能源使用細項,2024年度使用的各種能源項目,再生能源使用佔總發電量（百分比）,再生能源使用來源（自發自用、購電協議、再生能源憑證）,是否生產支持轉型至低碳經濟之產品/服務,支持轉型至低碳經濟之產品/服務產生的營收占比，若無法計算佔比，但有總營收或低碳產品營收的資料，可以在補充說明寫出。,22 總碳排放量,23 年總碳排放量,24 年總碳排放量,22 營收,23 營收,24 營收,24 碳強度,23 碳強度,22 碳強度,22-24 能效進步率,碳費基準每噸300元（萬）,300佔淨利
30414175,2002,中國鋼鐵股份有限公司,鋼鐵業,高雄市,"中鋼已設定短、中、長期減碳目標,長期以139年達成碳中和作為努力目標。",2050,True,2030,25%,2018,"22,100,460",False,"192,778,026","178,122,695","182,734,510","2,478,844,444",True,2030,,,False,529,False,,,False,"中鋼已設定短、中、長期減碳目標,長期以139年達成碳中和作為努力目標,規劃各項策略,並制定碳中和路徑規劃圖。短期減碳策略,採取「增加再生能源使用」、「加大力度提升能源效率」為主;114至119年主要透過「高爐添加低排碳鐵源」、「高爐噴氫取代煤」、「鋼化聯產」、「增用廢鋼」達到119年較107年減碳25%之目標(範疇一+範疇二),119年之後邁向碳中和的長程規劃有4個路徑,「設備電力化」、「無碳燃料」、「碳捕捉利用與封存(CCUS)、「全氫能冶煉製程」,共10個面向推動減碳工作,並於139年邁向碳中和目標。",True,"17,587,087","1,166,325",,,,,"11,036,798",False,,True,"煤炭: 177,098,607 GJ, 天然氣: 10,172,297 GJ, 柴油: 94,706 GJ, 汽油: 4,282 GJ, 低硫燃料油: 89,958 GJ, Other(雜酚油等): 30,460 GJ, 外購電力(不含再生能源): 8,923,840 GJ, 再生能源 (太陽能): 123,344 GJ",,自發自用、購電協議（綠電直轉供）、再生能源憑證,True,,"19,630,736","18,066,406","18,753,412","$449,567,488,000","$363,326,498,000","$360,535,714,000",52.02,49.72,43.67,-8.7%,"54,049,219,020.00",153.1%
86522210,6505,台塑石化股份有限公司,石化業,雲林縣,以 2050 年達到碳中和為目標,2050,True,2030,28%,2007,"31,820,000",False,"365,406,000","364,274,130","351,642,900","2,466,400,000",True,,,1%,False,"1,204",False,,,False,短期 (2025 年): 節能減碳循環經濟改善措施、設置及開發再生能源 (太陽能、小水力等)、鍋爐混燒固體再生燃料 (SRF) 5%、以共煉方式生產永續航空燃油 (SAF)。,True,"23,221,634","193,699",,,,,,False,,False,,,自發自用,True,,"24,467,047","24,234,494","23,415,333","$848,048,496,000","$712,576,194,000","$663,823,047,000",35.27,34.01,28.85,-10.9%,"72,478,482,000.00",33.1%
